qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
GMR-ablp-F1	3R	100.000	13	0	0	7	19	28914157	28914169	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	5	17	34033315	34033327	22	26.3	27
GMR-ablp-F1	3R	100.000	12	0	0	1	12	3483987	3483976	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	1	12	5734260	5734249	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	1	12	5757094	5757083	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	7721059	7721048	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	6	17	9008061	9008050	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	6	17	9526055	9526044	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	9570354	9570343	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	9769773	9769762	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	1	12	9815529	9815518	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	9	20	9959229	9959218	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	2	13	11417125	11417114	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	9	20	11708328	11708317	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	2	13	12029654	12029643	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	10	21	12051322	12051311	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	6	17	12488201	12488190	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	2	13	13067467	13067456	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	13144566	13144555	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	10	21	13229611	13229600	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	13515894	13515883	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	8	19	14664100	14664089	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	10	21	14901171	14901160	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	16799463	16799452	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	10	21	20357753	20357742	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	20373864	20373853	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	22503646	22503635	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	11	22	23128872	23128861	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	1	12	23348897	23348886	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	14	25	23599833	23599822	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	1	12	23722073	23722062	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	23773769	23773758	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	1	12	24353441	24353430	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	6	17	24491776	24491765	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	9	20	25199565	25199554	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	25433996	25433985	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	25714293	25714282	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	25813999	25813988	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	3	14	26431879	26431868	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	29393558	29393547	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	9	20	29642722	29642711	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	6	17	29800704	29800693	88	24.3	27
GMR-ablp-F1	3R	93.750	16	1	0	12	27	30247109	30247094	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	2	13	30971115	30971104	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	31139472	31139461	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	6	17	31230651	31230640	88	24.3	27
GMR-ablp-F1	3R	93.750	16	1	0	2	17	31296924	31296909	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	32616651	32616640	88	24.3	27
GMR-ablp-F1	3R	93.750	16	1	0	2	17	32789024	32789009	88	24.3	27
GMR-ablp-F1	3R	93.750	16	1	0	7	22	33405282	33405267	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	34196894	34196883	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	12	23	7708484	7708495	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	9290996	9291007	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	12	23	11679298	11679309	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	12720283	12720294	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	3	14	13721800	13721811	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	13741974	13741985	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	15421265	15421276	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	15974545	15974556	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	15981581	15981592	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	21476333	21476344	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	21675342	21675353	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	21749801	21749812	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	23466081	23466092	88	24.3	27
GMR-ablp-F1	3R	93.750	16	1	0	7	22	23928016	23928031	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	24176090	24176101	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	6	17	24189661	24189672	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	25488061	25488072	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	2	13	25771234	25771245	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	10	21	25938791	25938802	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	4	15	26574162	26574173	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	26691459	26691470	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	5	16	27062081	27062092	88	24.3	27
GMR-ablp-F1	3R	93.750	16	1	0	1	16	27670534	27670549	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	28917277	28917288	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	3	14	30221279	30221290	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	3	14	30455517	30455528	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	7	18	31786075	31786086	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	2	13	33094267	33094278	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	3	14	33938313	33938324	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	10	21	34116928	34116939	88	24.3	27
GMR-ablp-F1	3R	100.000	12	0	0	16	27	34213528	34213539	88	24.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	3395713	3395703	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	3529437	3529427	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	3607005	3606995	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4134838	4134828	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4255635	4255625	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4328494	4328484	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4373822	4373812	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	4662639	4662629	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4720789	4720779	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4724031	4724021	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4730228	4730218	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4736661	4736651	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4743080	4743070	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4748478	4748468	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4753870	4753860	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4801206	4801196	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5090391	5090381	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	5299538	5299528	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	5311095	5311085	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5850751	5850741	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5869413	5869403	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5871835	5871825	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5883571	5883561	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5901158	5901148	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5981249	5981239	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	6020443	6020433	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	6191657	6191647	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	6436837	6436827	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	8449355	8449345	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	9245913	9245903	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	9319988	9319978	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	9476869	9476859	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	9515865	9515855	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	9571883	9571873	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	10294906	10294896	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	10314526	10314516	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	1	15	10614562	10614548	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	11129377	11129367	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	11276026	11276016	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	11320685	11320675	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	1	15	11816466	11816452	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	12075139	12075129	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	12154295	12154285	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	12	22	12229598	12229588	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	12261656	12261646	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	12595989	12595979	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	16	26	12599173	12599163	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	13039912	13039902	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	9	19	13187726	13187716	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	13246632	13246622	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	4	18	13609492	13609478	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	12	22	13908668	13908658	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	13999516	13999506	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	14141741	14141731	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	14217550	14217540	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	7	21	14467521	14467507	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	14481133	14481123	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	14527525	14527515	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	14745848	14745838	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	14774610	14774600	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	7	21	14848396	14848382	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	14879145	14879135	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	15046472	15046462	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	9	19	15128156	15128146	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	15301110	15301100	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	15364897	15364887	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	15516661	15516651	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	15910326	15910316	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	16236069	16236059	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	16795882	16795872	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	16841552	16841542	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	17274485	17274475	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	17634718	17634708	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	17932737	17932727	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	17982427	17982417	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	17992112	17992102	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	18026895	18026885	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	18247526	18247516	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	18927425	18927415	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	19044491	19044481	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	19608827	19608817	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	19833492	19833482	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	20076455	20076445	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	9	19	20185549	20185539	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	20501773	20501763	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	11	21	20607911	20607901	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	21702768	21702758	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	21838381	21838371	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	21919338	21919328	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	22014157	22014147	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	22047391	22047381	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	22076214	22076204	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	22096506	22096496	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	22329307	22329297	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	9	19	22364401	22364391	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	22539674	22539664	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	22574035	22574025	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	22598566	22598556	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	14	24	22624216	22624206	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	23458415	23458405	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	23644117	23644107	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	23900899	23900889	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	24040105	24040095	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	24133482	24133472	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	9	19	24133512	24133502	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	24930217	24930207	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	25104580	25104570	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	25198003	25197993	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	25299258	25299248	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	25331586	25331576	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	25462788	25462778	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	25865358	25865348	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	25968089	25968079	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	25978719	25978709	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	26032477	26032467	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	26080066	26080056	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	11	21	26303034	26303024	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	26412504	26412494	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	26443821	26443811	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	26478523	26478513	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	12	22	26617969	26617959	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	26751673	26751663	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	27124554	27124544	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	27304597	27304587	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	27669694	27669684	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	11	21	27928194	27928184	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	28369849	28369839	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	17	27	28725201	28725191	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	29037477	29037467	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	29227319	29227309	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	29617588	29617578	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	29812694	29812684	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	30108565	30108555	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	30136252	30136242	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	30423686	30423676	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	30746329	30746319	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	30870570	30870560	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	14	24	30886846	30886836	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	31152349	31152339	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	31651366	31651356	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	14	24	31785161	31785151	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	32000433	32000423	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	32038335	32038325	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	32534540	32534530	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	32557763	32557753	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	32787260	32787250	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	32873016	32873006	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	12	22	33067401	33067391	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	33144904	33144894	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	33166963	33166953	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	33269688	33269678	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	33274025	33274015	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	33459430	33459420	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	13	27	33503216	33503202	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	33579774	33579764	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	16	26	33749378	33749368	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	11	21	34029779	34029769	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	34294680	34294670	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	5	19	34371483	34371469	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	34496590	34496580	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	2	16	34555733	34555719	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	8	22	34562372	34562358	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	34654001	34653991	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	34727398	34727388	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	34949343	34949333	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	35235668	35235658	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	35254701	35254691	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	8	18	35405252	35405242	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	35476757	35476747	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	35476790	35476780	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	17	27	35602284	35602274	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	3310598	3310608	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	3769662	3769672	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	4597407	4597417	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	4675359	4675369	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	4989916	4989926	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	5067513	5067523	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5284356	5284366	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5337522	5337532	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5917176	5917186	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	5929856	5929866	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	17	27	6179230	6179240	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	1	15	6338525	6338539	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	6342880	6342890	349	22.3	27
GMR-ablp-F1	3R	93.333	15	1	0	1	15	6361270	6361284	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	6365647	6365657	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	6543201	6543211	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	5	15	6723953	6723963	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	6817223	6817233	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	1	11	6830538	6830548	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	15	25	7532091	7532101	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	7623439	7623449	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	2	12	7848727	7848737	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	8202686	8202696	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	3	13	8242338	8242348	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	7	17	8401349	8401359	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	8571589	8571599	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	9	19	8731189	8731199	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	16	26	8740437	8740447	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	4	14	9367560	9367570	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	6	16	9427437	9427447	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	9729107	9729117	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	9738472	9738482	349	22.3	27
GMR-ablp-F1	3R	100.000	11	0	0	10	20	9750129	9750139	349	22.3	27
